E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
17430158.87,0.32,-18.98,-6.15,-12.37,306.90,data_properties/JD_BASECASE_5_PORO.dat,data_properties/JD_BASECASE_5_PERMX.dat,216.90,0.28,0.96,-14.36,-10.78,6.16,9637.17,7234.24,8301.40,-4138.08
18547731.05,0.23,-17.96,-5.61,-12.80,310.55,data_properties/JD_BASECASE_6_PORO.dat,data_properties/JD_BASECASE_6_PERMX.dat,220.55,0.15,0.99,-12.74,-10.83,6.10,8551.32,7269.52,8589.79,-4095.53
21148573.01,0.27,-17.25,-6.04,-12.92,318.11,data_properties/JD_BASECASE_7_PORO.dat,data_properties/JD_BASECASE_7_PERMX.dat,228.11,-0.11,0.99,-11.03,-12.25,5.57,7407.83,8222.66,8671.29,-3740.16
15242584.84,0.31,-16.44,-5.66,-11.98,307.23,data_properties/JD_BASECASE_8_PORO.dat,data_properties/JD_BASECASE_8_PERMX.dat,217.23,0.27,0.96,-12.49,-9.60,5.19,8386.90,6446.45,8043.84,-3487.11
18738525.02,0.32,-18.81,-5.89,-13.77,301.53,data_properties/JD_BASECASE_9_PORO.dat,data_properties/JD_BASECASE_9_PERMX.dat,211.53,0.45,0.89,-15.28,-9.42,5.76,10256.08,6325.98,9243.42,-3865.61
23836991.87,0.37,-16.44,-5.65,-13.59,301.08,data_properties/JD_BASECASE_11_PORO.dat,data_properties/JD_BASECASE_11_PERMX.dat,211.08,0.47,0.88,-13.57,-8.53,4.77,9108.50,5724.84,9121.45,-3202.95
23925181.96,0.26,-16.68,-5.42,-12.08,314.62,data_properties/JD_BASECASE_12_PORO.dat,data_properties/JD_BASECASE_12_PERMX.dat,224.62,0.01,1.00,-11.12,-10.97,5.63,7465.53,7365.81,8109.76,-3779.23
15628250.24,0.37,-17.16,-5.86,-11.89,301.33,data_properties/JD_BASECASE_13_PORO.dat,data_properties/JD_BASECASE_13_PERMX.dat,211.33,0.46,0.89,-14.10,-8.92,5.02,9467.79,5985.60,7982.94,-3367.42
15093352.92,0.30,-17.30,-5.98,-13.27,306.21,data_properties/JD_BASECASE_15_PORO.dat,data_properties/JD_BASECASE_15_PERMX.dat,216.21,0.30,0.95,-13.35,-9.93,5.39,8961.32,6668.00,8905.93,-3621.15
20794901.10,0.26,-18.05,-5.74,-12.67,308.41,data_properties/JD_BASECASE_20_PORO.dat,data_properties/JD_BASECASE_20_PERMX.dat,218.41,0.23,0.97,-13.30,-10.49,6.00,8928.58,7042.43,8508.70,-4024.66
