E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref,A_m2
17430158.87,0.32,-18.06,-6.66,-12.37,318.69,data_properties/JD_BASECASE_5_PORO.dat,data_properties/JD_BASECASE_5_PERMX.dat,228.69,-0.13,0.99,-11.63,-13.09,5.65,7806.11,8788.49,8301.4,-3795.02,15472878.07
18547731.05,0.23,-17.56,-6.08,-12.8,319.42,data_properties/JD_BASECASE_6_PORO.dat,data_properties/JD_BASECASE_6_PERMX.dat,229.42,-0.15,0.99,-10.94,-12.7,5.67,7341.36,8525.75,8589.79,-3809,18031818.8
21148573.01,0.27,-18.16,-6.54,-12.92,319.95,data_properties/JD_BASECASE_7_PORO.dat,data_properties/JD_BASECASE_7_PERMX.dat,229.95,-0.17,0.99,-11.35,-13.35,5.72,7621.17,8961.94,8671.29,-3842.8,17250281.4
15242584.84,0.31,-17.2,-6.13,-11.98,319.25,data_properties/JD_BASECASE_8_PORO.dat,data_properties/JD_BASECASE_8_PERMX.dat,229.25,-0.15,0.99,-10.85,-12.48,5.48,7281.55,8380.63,8043.84,-3676.71,15407511.59
18738525.02,0.32,-17.13,-6.38,-13.77,318.54,data_properties/JD_BASECASE_9_PORO.dat,data_properties/JD_BASECASE_9_PERMX.dat,228.54,-0.12,0.99,-11.09,-12.42,5.33,7447.83,8336.94,9243.42,-3580.71,18592160.04
23836991.87,0.37,-19.18,-6.12,-13.59,319.31,data_properties/JD_BASECASE_11_PORO.dat,data_properties/JD_BASECASE_11_PERMX.dat,229.31,-0.15,0.99,-11.67,-13.63,6.45,7834.74,9149.14,9121.45,-4331.82,18525320.05
23925181.96,0.26,-19.21,-5.87,-12.08,319.25,data_properties/JD_BASECASE_12_PORO.dat,data_properties/JD_BASECASE_12_PERMX.dat,229.25,-0.15,0.99,-11.55,-13.52,6.6,7754.68,9079.72,8109.76,-4428.8,17130292.77
15628250.24,0.37,-16.89,-6.35,-11.89,319.65,data_properties/JD_BASECASE_13_PORO.dat,data_properties/JD_BASECASE_13_PERMX.dat,229.65,-0.16,0.99,-10.77,-12.47,5.2,7228.24,8371.44,7982.94,-3489.56,16623447.89
15093352.92,0.3,-18.22,-6.48,-13.27,311.67,data_properties/JD_BASECASE_15_PORO.dat,data_properties/JD_BASECASE_15_PERMX.dat,221.67,0.12,0.99,-13.03,-11.67,5.83,8750.31,7834.69,8905.93,-3914.84,15910877.92
20794901.1,0.26,-16.77,-6.22,-12.67,312.53,data_properties/JD_BASECASE_20_PORO.dat,data_properties/JD_BASECASE_20_PERMX.dat,222.53,0.09,1,-11.95,-11.04,5.26,8019.42,7409.28,8508.7,-3528.37,18343155.09
