E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,A_m2,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
15364558.42,0.40,-19.64,-6.46,-12.05,319.19,15776075.21,data_properties/JD_BASECASE_405_PORO.dat,data_properties/JD_BASECASE_405_PERMX.dat,229.19,-0.15,0.99,-12.09,-14.01,6.52,8114.98,9405.94,8091.28,-4377.23
20929926.66,0.20,-16.35,-6.56,-13.34,319.08,16928531.30,data_properties/JD_BASECASE_408_PORO.dat,data_properties/JD_BASECASE_408_PERMX.dat,229.08,-0.14,0.99,-10.76,-12.15,4.84,7226.34,8159.52,8958.48,-3252.46
17230499.56,0.32,-19.33,-5.85,-11.84,319.27,15395505.24,data_properties/JD_BASECASE_409_PORO.dat,data_properties/JD_BASECASE_409_PERMX.dat,229.27,-0.15,0.99,-11.59,-13.59,6.67,7781.99,9125.85,7947.27,-4475.25
16188757.42,0.24,-19.13,-6.12,-13.02,308.31,15342151.56,data_properties/JD_BASECASE_410_PORO.dat,data_properties/JD_BASECASE_410_PERMX.dat,218.31,0.23,0.97,-14.13,-11.12,6.33,9484.88,7462.60,8743.92,-4247.74
24538686.60,0.32,-19.66,-6.96,-13.31,306.46,17161213.86,data_properties/JD_BASECASE_411_PORO.dat,data_properties/JD_BASECASE_411_PERMX.dat,216.46,0.29,0.96,-15.17,-11.45,6.07,10187.13,7684.83,8936.84,-4074.51
16389355.95,0.29,-19.21,-6.77,-11.75,319.65,16453830.30,data_properties/JD_BASECASE_412_PORO.dat,data_properties/JD_BASECASE_412_PERMX.dat,229.65,-0.16,0.99,-11.99,-13.99,6.14,8046.20,9395.17,7890.65,-4118.73
18519459.13,0.32,-19.56,-6.60,-12.10,319.55,16292043.54,data_properties/JD_BASECASE_414_PORO.dat,data_properties/JD_BASECASE_414_PERMX.dat,229.55,-0.16,0.99,-12.05,-14.10,6.40,8092.69,9467.52,8124.39,-4294.74
23729245.17,0.23,-19.76,-5.95,-13.51,319.70,16327485.91,data_properties/JD_BASECASE_415_PORO.dat,data_properties/JD_BASECASE_415_PERMX.dat,229.70,-0.16,0.99,-11.73,-13.98,6.81,7871.88,9385.41,9066.62,-4574.50
19051093.81,0.33,-19.72,-6.94,-12.68,319.96,16354777.84,data_properties/JD_BASECASE_416_PORO.dat,data_properties/JD_BASECASE_416_PERMX.dat,229.96,-0.17,0.99,-12.23,-14.43,6.30,8209.74,9689.27,8514.44,-4227.27
22900637.81,0.27,-19.36,-6.75,-13.95,319.28,18203489.11,data_properties/JD_BASECASE_418_PORO.dat,data_properties/JD_BASECASE_418_PERMX.dat,229.28,-0.15,0.99,-12.12,-13.99,6.23,8134.55,9393.70,9362.44,-4184.90
22520855.77,0.31,-16.37,-6.76,-11.91,319.23,15509564.24,data_properties/JD_BASECASE_419_PORO.dat,data_properties/JD_BASECASE_419_PERMX.dat,229.23,-0.15,0.99,-10.86,-12.27,4.75,7290.77,8240.40,7996.62,-3189.56
17810857.86,0.37,-19.12,-6.52,-11.62,319.85,15603294.65,data_properties/JD_BASECASE_421_PORO.dat,data_properties/JD_BASECASE_421_PERMX.dat,229.85,-0.17,0.99,-11.76,-13.88,6.21,7894.89,9318.06,7799.35,-4166.71
18277995.93,0.28,-19.61,-6.63,-13.63,319.22,17470036.47,data_properties/JD_BASECASE_422_PORO.dat,data_properties/JD_BASECASE_422_PERMX.dat,229.22,-0.15,0.99,-12.17,-14.08,6.42,8170.28,9450.26,9148.06,-4308.83
16425890.37,0.24,-18.94,-6.68,-12.50,319.69,18546337.04,data_properties/JD_BASECASE_424_PORO.dat,data_properties/JD_BASECASE_424_PERMX.dat,229.69,-0.16,0.99,-11.81,-13.81,6.05,7929.11,9270.46,8393.03,-4060.97
15984382.04,0.35,-19.71,-7.00,-12.12,319.15,18573761.07,data_properties/JD_BASECASE_425_PORO.dat,data_properties/JD_BASECASE_425_PERMX.dat,229.15,-0.14,0.99,-12.43,-14.27,6.29,8347.41,9580.66,8137.17,-4223.21
23907012.49,0.21,-17.36,-6.90,-11.86,319.20,17786853.66,data_properties/JD_BASECASE_429_PORO.dat,data_properties/JD_BASECASE_429_PERMX.dat,229.20,-0.15,0.99,-11.37,-12.89,5.17,7630.52,8656.76,7961.35,-3471.82
23260417.13,0.22,-19.41,-6.61,-13.15,319.07,16097413.67,data_properties/JD_BASECASE_438_PORO.dat,data_properties/JD_BASECASE_438_PERMX.dat,229.07,-0.14,0.99,-12.10,-13.92,6.33,8126.05,9341.91,8829.59,-4252.80
18617062.00,0.36,-18.91,-6.42,-12.53,319.75,17011467.40,data_properties/JD_BASECASE_439_PORO.dat,data_properties/JD_BASECASE_439_PERMX.dat,229.75,-0.17,0.99,-11.63,-13.70,6.16,7810.80,9195.37,8412.14,-4137.37
21633543.11,0.26,-19.37,-6.51,-11.97,319.18,17773661.84,data_properties/JD_BASECASE_446_PORO.dat,data_properties/JD_BASECASE_446_PERMX.dat,229.18,-0.15,0.99,-12.00,-13.87,6.36,8058.40,9313.57,8038.47,-4270.50
20378643.73,0.31,-19.34,-6.97,-13.28,319.12,15967195.85,data_properties/JD_BASECASE_454_PORO.dat,data_properties/JD_BASECASE_454_PERMX.dat,229.12,-0.14,0.99,-12.27,-14.05,6.12,8237.48,9429.20,8917.58,-4110.28
24269209.33,0.30,-19.09,-5.96,-12.56,318.38,16183825.84,data_properties/JD_BASECASE_465_PORO.dat,data_properties/JD_BASECASE_465_PERMX.dat,228.38,-0.12,0.99,-11.75,-13.30,6.52,7891.31,8928.17,8431.93,-4376.53
20473443.39,0.26,-19.46,-6.55,-12.17,319.22,16272816.88,data_properties/JD_BASECASE_467_PORO.dat,data_properties/JD_BASECASE_467_PERMX.dat,229.22,-0.15,0.99,-12.05,-13.95,6.38,8091.77,9365.21,8167.03,-4286.18
