SH_azi_deg,q_SH_azi,SH_MPa/km,q_SH,weights
319.5756,0.0450,-19.5003,0.2500,0.0069
319.3182,0.0450,-18.2393,0.0278,0.0621
319.2180,0.0450,-19.5881,0.2500,0.0069
319.8449,0.0450,-17.7037,0.0278,0.0621
319.3022,0.0450,-19.6407,0.2500,0.0069
319.4382,0.0450,-19.1722,0.2500,0.0069
319.0914,0.0450,-19.0882,0.2500,0.0069
319.3010,0.0450,-17.5963,0.0278,0.0621
312.3131,-299.9997,-18.9653,0.2500,-0.0000
319.0857,0.0450,-19.2387,0.2500,0.0069
319.3437,0.0450,-19.4062,0.2500,0.0069
319.7093,0.0450,-19.6853,0.2500,0.0069
313.2253,-299.9997,-18.9297,0.2500,-0.0000
319.9740,0.0450,-18.9807,0.2500,0.0069
319.6252,0.0450,-19.4878,0.2500,0.0069
319.2693,0.0450,-19.5042,0.2500,0.0069
319.6567,0.0450,-19.0117,0.2500,0.0069
319.6270,0.0450,-18.9867,0.2500,0.0069
319.8257,0.0450,-18.9252,0.2500,0.0069
319.5337,0.0450,-19.4839,0.2500,0.0069
319.9111,0.0450,-19.1519,0.2500,0.0069
319.4155,0.0450,-19.1169,0.2500,0.0069
319.2860,0.0450,-19.4981,0.2500,0.0069
319.5190,0.0450,-19.0089,0.2500,0.0069
319.9225,0.0450,-19.3828,0.2500,0.0069
319.7239,0.0450,-18.9818,0.2500,0.0069
319.4939,0.0450,-17.2284,0.0278,0.0621
319.4975,0.0450,-18.9592,0.2500,0.0069
319.6487,0.0450,-19.5017,0.2500,0.0069
319.4478,0.0450,-19.6125,0.2500,0.0069
319.5506,0.0450,-19.3162,0.2500,0.0069
319.9712,0.0450,-19.2619,0.2500,0.0069
319.9324,0.0450,-19.5314,0.2500,0.0069
319.8407,0.0450,-18.9684,0.2500,0.0069
319.1270,0.0450,-19.1505,0.2500,0.0069
303.6673,-299.9997,-17.0495,0.0278,-0.0000
314.5850,-299.9997,-19.7147,0.2500,-0.0000
319.5565,0.0450,-19.7541,0.2500,0.0069
319.3664,0.0450,-18.9346,0.2500,0.0069
319.9118,0.0450,-18.9028,0.2500,0.0069
319.3137,0.0450,-18.6044,0.0278,0.0621
319.9308,0.0450,-19.5911,0.2500,0.0069
319.2383,0.0450,-19.3067,0.2500,0.0069
319.4204,0.0450,-19.5862,0.2500,0.0069
319.9600,0.0450,-19.4787,0.2500,0.0069
319.5955,0.0450,-19.3032,0.2500,0.0069
319.9321,0.0450,-19.5390,0.2500,0.0069
306.3476,-299.9997,-19.4441,0.2500,-0.0000
319.5389,0.0450,-18.9141,0.2500,0.0069
319.2280,0.0450,-19.3195,0.2500,0.0069
319.7130,0.0450,-19.6938,0.2500,0.0069
319.5216,0.0450,-19.6023,0.2500,0.0069
319.5055,0.0450,-19.4894,0.2500,0.0069
319.1365,0.0450,-19.4594,0.2500,0.0069
319.1449,0.0450,-19.6350,0.2500,0.0069
319.9296,0.0450,-18.8832,0.0278,0.0621
319.9561,0.0450,-19.1622,0.2500,0.0069
319.9659,0.0450,-16.6731,0.0278,0.0621
319.3578,0.0450,-19.2547,0.2500,0.0069
319.0459,0.0450,-19.4676,0.2500,0.0069
319.5539,0.0450,-16.7711,0.0278,0.0621
308.3212,-299.9997,-19.6389,0.2500,-0.0000
319.7363,0.0450,-19.1892,0.2500,0.0069
319.6480,0.0450,-19.0516,0.2500,0.0069
319.0529,0.0450,-19.1450,0.2500,0.0069
319.2329,0.0450,-19.2951,0.2500,0.0069
319.7059,0.0450,-18.9886,0.2500,0.0069
319.0551,0.0450,-19.4655,0.2500,0.0069
319.8465,0.0450,-19.7068,0.2500,0.0069
306.0585,-299.9997,-19.2080,0.2500,-0.0000
319.9891,0.0450,-19.7607,0.2500,0.0069
319.2478,0.0450,-19.2777,0.2500,0.0069
310.7975,-299.9997,-19.3822,0.2500,-0.0000
319.0541,0.0450,-19.7791,0.2500,0.0069
319.9797,0.0450,-19.5390,0.2500,0.0069
319.7672,0.0450,-19.3550,0.2500,0.0069
319.4542,0.0450,-19.5791,0.2500,0.0069
319.4783,0.0450,-19.3260,0.2500,0.0069
319.9155,0.0450,-19.5494,0.2500,0.0069
319.3558,0.0450,-19.1001,0.2500,0.0069
319.0532,0.0450,-18.9692,0.2500,0.0069
319.6140,0.0450,-19.4392,0.2500,0.0069
319.3125,0.0450,-19.3713,0.2500,0.0069
319.6816,0.0450,-19.3146,0.2500,0.0069
319.9480,0.0450,-19.0057,0.2500,0.0069
319.3606,0.0450,-19.7411,0.2500,0.0069
319.2470,0.0450,-19.0006,0.2500,0.0069
319.0530,0.0450,-19.7707,0.2500,0.0069
319.8317,0.0450,-19.1863,0.2500,0.0069
312.5152,-299.9997,-19.1536,0.2500,-0.0000
