E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
17430158.87,0.32,-18.98,-6.66,-12.37,306.90,data_properties/JD_BASECASE_5_PORO.dat,data_properties/JD_BASECASE_5_PERMX.dat,216.90,0.28,0.96,-14.54,-11.10,5.92,9761.17,7454.13,8301.40,-3972.95
18547731.05,0.23,-17.96,-6.08,-12.80,310.55,data_properties/JD_BASECASE_6_PORO.dat,data_properties/JD_BASECASE_6_PERMX.dat,220.55,0.15,0.99,-12.94,-11.10,5.87,8683.94,7450.65,8589.79,-3940.54
21148573.01,0.27,-17.25,-6.54,-12.92,318.11,data_properties/JD_BASECASE_7_PORO.dat,data_properties/JD_BASECASE_7_PERMX.dat,228.11,-0.11,0.99,-11.31,-12.47,5.32,7594.99,8373.25,8671.29,-3572.27
15242584.84,0.31,-16.44,-6.13,-11.98,307.23,data_properties/JD_BASECASE_8_PORO.dat,data_properties/JD_BASECASE_8_PERMX.dat,217.23,0.27,0.96,-12.67,-9.90,4.97,8502.71,6647.08,8043.84,-3334.68
18738525.02,0.32,-18.81,-6.38,-13.77,301.53,data_properties/JD_BASECASE_9_PORO.dat,data_properties/JD_BASECASE_9_PERMX.dat,211.53,0.45,0.89,-15.41,-9.78,5.54,10346.18,6565.43,9243.42,-3718.72
23836991.87,0.37,-16.44,-6.12,-13.59,301.08,data_properties/JD_BASECASE_11_PORO.dat,data_properties/JD_BASECASE_11_PERMX.dat,211.08,0.47,0.88,-13.69,-8.87,4.56,9192.75,5956.78,9121.45,-3063.16
23925181.96,0.26,-16.68,-5.87,-12.08,314.62,data_properties/JD_BASECASE_12_PORO.dat,data_properties/JD_BASECASE_12_PERMX.dat,224.62,0.01,1.00,-11.34,-11.20,5.40,7615.03,7519.31,8109.76,-3627.74
15628250.24,0.37,-17.16,-6.35,-11.89,301.33,data_properties/JD_BASECASE_13_PORO.dat,data_properties/JD_BASECASE_13_PERMX.dat,211.33,0.46,0.89,-14.24,-9.27,4.80,9556.46,6224.91,7982.94,-3221.75
15093352.92,0.30,-17.30,-6.48,-13.27,306.21,data_properties/JD_BASECASE_15_PORO.dat,data_properties/JD_BASECASE_15_PERMX.dat,216.21,0.30,0.95,-13.52,-10.26,5.16,9078.14,6885.86,8905.93,-3461.61
20794901.10,0.26,-18.05,-6.22,-12.67,308.41,data_properties/JD_BASECASE_20_PORO.dat,data_properties/JD_BASECASE_20_PERMX.dat,218.41,0.23,0.97,-13.48,-10.78,5.76,9052.46,7239.54,8508.70,-3868.40
15552823.77,0.37,-19.42,-7.14,-12.52,314.18,data_properties/JD_BASECASE_21_PORO.dat,data_properties/JD_BASECASE_21_PERMX.dat,224.18,0.03,1.00,-13.45,-13.10,6.14,9032.17,8795.84,8407.34,-4120.73
21882008.86,0.24,-16.32,-6.18,-11.79,319.74,data_properties/JD_BASECASE_22_PORO.dat,data_properties/JD_BASECASE_22_PERMX.dat,229.74,-0.16,0.99,-10.42,-12.08,5.00,6992.30,8111.70,7915.98,-3355.03
18878566.51,0.22,-19.33,-6.18,-13.73,313.14,data_properties/JD_BASECASE_25_PORO.dat,data_properties/JD_BASECASE_25_PERMX.dat,223.14,0.06,1.00,-13.18,-12.33,6.56,8848.76,8277.01,9217.38,-4405.92
22309198.74,0.39,-16.53,-7.12,-13.52,311.48,data_properties/JD_BASECASE_26_PORO.dat,data_properties/JD_BASECASE_26_PERMX.dat,221.48,0.12,0.99,-12.40,-11.25,4.67,8326.05,7551.79,9074.29,-3134.66
19062666.50,0.23,-17.71,-6.93,-11.54,302.58,data_properties/JD_BASECASE_27_PORO.dat,data_properties/JD_BASECASE_27_PERMX.dat,212.58,0.42,0.91,-14.59,-10.06,4.89,9791.98,6752.25,7750.43,-3282.33
15861656.22,0.23,-19.15,-7.01,-11.93,306.74,data_properties/JD_BASECASE_28_PORO.dat,data_properties/JD_BASECASE_28_PERMX.dat,216.74,0.28,0.96,-14.81,-11.36,5.82,9941.16,7623.07,8007.99,-3905.38
