SH_azi_deg,q_SH_azi,SH_MPa/km,q_SH,weights
318.6874,0.0400,-18.0595,0.2222,0.0085
319.4186,0.0400,-17.5595,0.0556,0.0342
319.9479,0.0400,-18.1614,0.2222,0.0085
319.2504,0.0400,-17.2025,0.0556,0.0342
318.5386,0.0400,-17.1309,0.0556,0.0342
319.3134,0.0400,-19.1757,0.2222,0.0085
319.2540,0.0400,-19.2084,0.2222,0.0085
319.6513,0.0400,-16.8856,0.0556,0.0342
311.6650,-299.9994,-18.2234,0.2222,-0.0000
312.5292,-299.9994,-16.7664,0.0556,-0.0000
319.0674,0.0400,-18.1735,0.2222,0.0085
319.8222,0.0400,-18.0504,0.2222,0.0085
303.4743,-299.9994,-19.1677,0.2222,-0.0000
313.8174,-299.9994,-18.5037,0.2222,-0.0000
318.8310,0.0400,-18.4338,0.2222,0.0085
318.5721,0.0400,-17.8029,0.0556,0.0342
319.0380,0.0400,-19.1962,0.2222,0.0085
319.8449,0.0400,-18.2178,0.2222,0.0085
319.4478,0.0400,-18.9655,0.2222,0.0085
318.9878,0.0400,-18.1637,0.2222,0.0085
318.9950,0.0400,-18.1183,0.2222,0.0085
306.0135,-299.9994,-19.2034,0.2222,-0.0000
319.2974,0.0400,-19.4249,0.2222,0.0085
318.8955,0.0400,-18.8324,0.2222,0.0085
319.1013,0.0400,-18.7239,0.2222,0.0085
319.9424,0.0400,-19.2628,0.2222,0.0085
319.8648,0.0400,-17.9888,0.0556,0.0342
319.6814,0.0400,-18.1369,0.2222,0.0085
318.2541,0.0400,-16.5154,0.0556,0.0342
319.1130,0.0400,-18.5009,0.2222,0.0085
318.7329,0.0400,-19.6295,0.2222,0.0085
307.8833,-299.9994,-19.7081,0.2222,-0.0000
319.8236,0.0400,-16.5807,0.0556,0.0342
318.6274,0.0400,-18.0691,0.2222,0.0085
319.8615,0.0400,-18.0055,0.2222,0.0085
305.7397,-299.9994,-17.4007,0.0556,-0.0000
310.2292,-299.9994,-19.3822,0.2222,-0.0000
318.4767,0.0400,-18.8134,0.2222,0.0085
318.8408,0.0400,-19.3724,0.2222,0.0085
311.8565,-299.9994,-19.1574,0.2222,-0.0000
319.9199,0.0400,-17.5762,0.0556,0.0342
319.1910,0.0400,-18.8063,0.2222,0.0085
319.8643,0.0400,-19.2780,0.2222,0.0085
319.0777,0.0400,-19.0881,0.2222,0.0085
318.4561,0.0400,-18.0283,0.2222,0.0085
319.4259,0.0400,-18.8390,0.2222,0.0085
319.0431,0.0400,-19.5876,0.2222,0.0085
310.3601,-299.9994,-19.4045,0.2222,-0.0000
319.0109,0.0400,-19.1789,0.2222,0.0085
318.2730,0.0400,-19.1188,0.2222,0.0085
318.2898,0.0400,-19.4699,0.2222,0.0085
319.8592,0.0400,-18.5244,0.2222,0.0085
319.9121,0.0400,-18.7094,0.2222,0.0085
319.9319,0.0400,-19.1352,0.2222,0.0085
318.7156,0.0400,-19.4777,0.2222,0.0085
318.0917,0.0400,-17.6813,0.0556,0.0342
319.1079,0.0400,-16.7444,0.0556,0.0342
319.4726,0.0400,-16.5764,0.0556,0.0342
319.2961,0.0400,-18.5785,0.2222,0.0085
318.1059,0.0400,-18.3033,0.2222,0.0085
318.4658,0.0400,-16.3306,0.0556,0.0342
305.7274,-299.9994,-18.4901,0.2222,-0.0000
319.4118,0.0400,-18.7902,0.2222,0.0085
318.1102,0.0400,-18.1772,0.2222,0.0085
303.9241,-299.9994,-19.1310,0.2222,-0.0000
319.6930,0.0400,-19.6137,0.2222,0.0085
319.9782,0.0400,-18.6160,0.2222,0.0085
315.2089,-299.9994,-19.7215,0.2222,-0.0000
318.4956,0.0400,-18.7553,0.2222,0.0085
305.4390,-299.9994,-18.9643,0.2222,-0.0000
318.1082,0.0400,-19.7581,0.2222,0.0085
319.9594,0.0400,-19.2781,0.2222,0.0085
307.8880,-299.9994,-16.8774,0.0556,-0.0000
319.5344,0.0400,-18.9099,0.2222,0.0085
318.9084,0.0400,-19.3582,0.2222,0.0085
318.9565,0.0400,-18.8520,0.2222,0.0085
319.8310,0.0400,-19.2988,0.2222,0.0085
318.7117,0.0400,-18.4002,0.2222,0.0085
318.1064,0.0400,-18.1384,0.2222,0.0085
319.2279,0.0400,-19.0785,0.2222,0.0085
318.6251,0.0400,-17.2125,0.0556,0.0342
319.3631,0.0400,-18.9426,0.2222,0.0085
319.8959,0.0400,-18.8292,0.2222,0.0085
318.7212,0.0400,-18.2115,0.2222,0.0085
318.4940,0.0400,-17.7706,0.0556,0.0342
318.1059,0.0400,-19.6822,0.2222,0.0085
301.6455,-299.9994,-18.2011,0.2222,-0.0000
305.4176,-299.9994,-19.7414,0.2222,-0.0000
319.6633,0.0400,-18.5726,0.2222,0.0085
301.5425,-299.9994,-18.5073,0.2222,-0.0000
