SH_azi_deg,q_SH_azi,SH_MPa/km,q_SH,weights
319.1943,0.0450,-19.6400,0.2500,0.0067
319.0819,0.0450,-16.3535,0.0278,0.0604
319.2694,0.0450,-19.3336,0.2500,0.0067
308.3052,-299.9997,-19.1263,0.2500,-0.0000
306.4650,-299.9997,-19.6597,0.2500,-0.0000
319.6501,0.0450,-19.2069,0.2500,0.0067
319.5468,0.0450,-19.5573,0.2500,0.0067
319.6967,0.0450,-19.7596,0.2500,0.0067
319.9631,0.0450,-19.7234,0.2500,0.0067
319.2777,0.0450,-19.3586,0.2500,0.0067
319.2336,0.0450,-16.3708,0.0278,0.0604
319.8457,0.0450,-19.1164,0.2500,0.0067
319.2242,0.0450,-19.6122,0.2500,0.0067
319.6889,0.0450,-18.9410,0.2500,0.0067
319.1535,0.0450,-19.7100,0.2500,0.0067
319.2036,0.0450,-17.3582,0.0278,0.0604
319.0676,0.0450,-19.4091,0.2500,0.0067
319.7495,0.0450,-18.9145,0.2500,0.0067
319.1801,0.0450,-19.3679,0.2500,0.0067
319.1243,0.0450,-19.3444,0.2500,0.0067
318.3778,-299.9997,-19.0916,0.2500,-0.0000
319.2248,0.0450,-19.4563,0.2500,0.0067
319.2795,0.0450,-18.9014,0.2500,0.0067
302.7175,-299.9997,-19.1105,0.2500,-0.0000
319.0338,0.0450,-19.3743,0.2500,0.0067
319.2544,0.0450,-19.0792,0.2500,0.0067
319.6689,0.0450,-19.1193,0.2500,0.0067
319.7599,0.0450,-19.2928,0.2500,0.0067
319.2260,0.0450,-18.8097,0.0278,0.0604
319.6118,0.0450,-18.9501,0.2500,0.0067
319.9123,0.0450,-19.0874,0.2500,0.0067
319.5416,0.0450,-18.9663,0.2500,0.0067
319.3739,0.0450,-19.6186,0.2500,0.0067
319.0132,0.0450,-16.7852,0.0278,0.0604
319.8293,0.0450,-19.3522,0.2500,0.0067
316.0466,-299.9997,-19.1354,0.2500,-0.0000
319.8166,0.0450,-19.6171,0.2500,0.0067
319.0797,0.0450,-19.0396,0.2500,0.0067
319.1717,0.0450,-19.6794,0.2500,0.0067
319.8381,0.0450,-19.3149,0.2500,0.0067
319.5642,0.0450,-19.4056,0.2500,0.0067
319.3498,0.0450,-18.7598,0.0278,0.0604
312.7187,-299.9997,-19.1810,0.2500,-0.0000
319.1450,0.0450,-19.1188,0.2500,0.0067
319.0985,0.0450,-19.1490,0.2500,0.0067
319.5602,0.0450,-19.2239,0.2500,0.0067
319.7101,0.0450,-19.4130,0.2500,0.0067
319.9509,0.0450,-18.9277,0.2500,0.0067
319.7481,0.0450,-19.2472,0.2500,0.0067
319.3722,0.0450,-16.3163,0.0278,0.0604
319.7585,0.0450,-18.5981,0.0278,0.0604
319.0711,0.0450,-19.2071,0.2500,0.0067
319.6218,0.0450,-19.4669,0.2500,0.0067
319.7207,0.0450,-19.6817,0.2500,0.0067
319.0418,0.0450,-19.5954,0.2500,0.0067
319.3952,0.0450,-19.7922,0.2500,0.0067
302.0768,-299.9997,-19.2743,0.2500,-0.0000
319.1613,0.0450,-19.0932,0.2500,0.0067
319.2761,0.0450,-19.7297,0.2500,0.0067
319.2265,0.0450,-19.6330,0.2500,0.0067
319.3047,0.0450,-19.7225,0.2500,0.0067
319.1362,0.0450,-19.0896,0.2500,0.0067
319.6943,0.0450,-19.3223,0.2500,0.0067
319.0529,0.0450,-19.1912,0.2500,0.0067
319.5814,0.0450,-19.3061,0.2500,0.0067
319.1797,0.0450,-19.5547,0.2500,0.0067
319.5067,0.0450,-19.5524,0.2500,0.0067
319.2815,0.0450,-19.4735,0.2500,0.0067
301.6768,-299.9997,-19.2053,0.2500,-0.0000
319.3701,0.0450,-19.1017,0.2500,0.0067
319.5045,0.0450,-19.3209,0.2500,0.0067
319.1223,0.0450,-19.5738,0.2500,0.0067
319.1307,0.0450,-19.0651,0.2500,0.0067
319.8444,0.0450,-18.9217,0.2500,0.0067
319.3922,0.0450,-18.9945,0.2500,0.0067
319.1696,0.0450,-19.0161,0.2500,0.0067
319.8012,0.0450,-19.3181,0.2500,0.0067
319.9101,0.0450,-19.2207,0.2500,0.0067
319.8296,0.0450,-19.7275,0.2500,0.0067
319.7141,0.0450,-19.0873,0.2500,0.0067
318.3628,-299.9997,-19.2427,0.2500,-0.0000
319.0994,0.0450,-18.9193,0.2500,0.0067
319.9133,0.0450,-18.9539,0.2500,0.0067
319.5780,0.0450,-17.7264,0.0278,0.0604
319.9003,0.0450,-19.6540,0.2500,0.0067
319.5636,0.0450,-19.5320,0.2500,0.0067
