SH_azi_deg,q_SH_azi,SH_MPa/km,q_SH,weights
319.8236,0.0450,-19.6474,0.2500,0.0061
319.2895,0.0450,-19.7663,0.2500,0.0061
319.1640,0.0450,-18.9551,0.2500,0.0061
319.1631,0.0450,-19.7935,0.2500,0.0061
319.2780,0.0450,-19.5594,0.2500,0.0061
306.7285,-299.9997,-19.0657,0.2500,-0.0000
319.0071,0.0450,-19.0007,0.2500,0.0061
319.7488,0.0450,-18.9677,0.2500,0.0061
319.8538,0.0450,-19.4553,0.2500,0.0061
319.9257,0.0450,-19.1855,0.2500,0.0061
319.3021,0.0450,-19.3746,0.2500,0.0061
319.4741,0.0450,-19.0621,0.2500,0.0061
319.7403,0.0450,-19.7705,0.2500,0.0061
319.6506,0.0450,-19.4170,0.2500,0.0061
319.2676,0.0450,-19.6534,0.2500,0.0061
319.3893,0.0450,-19.2003,0.2500,0.0061
308.3440,-299.9997,-19.7166,0.2500,-0.0000
319.9052,0.0450,-19.3046,0.2500,0.0061
319.7308,0.0450,-19.2605,0.2500,0.0061
319.0762,0.0450,-19.6130,0.2500,0.0061
319.2063,0.0450,-19.2643,0.2500,0.0061
319.8883,0.0450,-19.6954,0.2500,0.0061
319.4127,0.0450,-19.2690,0.2500,0.0061
319.2045,0.0450,-18.9865,0.2500,0.0061
319.3469,0.0450,-16.7649,0.0278,0.0552
319.4122,0.0450,-19.3346,0.2500,0.0061
319.7553,0.0450,-19.5936,0.2500,0.0061
319.1331,0.0450,-19.0293,0.2500,0.0061
319.8548,0.0450,-19.0682,0.2500,0.0061
319.3798,0.0450,-19.5206,0.2500,0.0061
314.7348,-299.9997,-19.7857,0.2500,-0.0000
319.4769,0.0450,-19.0461,0.2500,0.0061
319.1302,0.0450,-19.7974,0.2500,0.0061
319.2722,0.0450,-19.3028,0.2500,0.0061
319.9458,0.0450,-19.5972,0.2500,0.0061
319.4744,0.0450,-19.4831,0.2500,0.0061
319.1524,0.0450,-16.9398,0.0278,0.0552
311.9451,-299.9997,-19.7695,0.2500,-0.0000
319.5521,0.0450,-19.6646,0.2500,0.0061
319.6207,0.0450,-19.2309,0.2500,0.0061
319.8490,0.0450,-19.1679,0.2500,0.0061
319.4286,0.0450,-19.4000,0.2500,0.0061
319.9581,0.0450,-19.2920,0.2500,0.0061
319.1957,0.0450,-19.1244,0.2500,0.0061
319.5166,0.0450,-19.3525,0.2500,0.0061
301.8618,-299.9997,-19.3279,0.2500,-0.0000
319.4016,0.0450,-19.4994,0.2500,0.0061
319.2788,0.0450,-19.7946,0.2500,0.0061
319.6041,0.0450,-19.3764,0.2500,0.0061
312.3801,-299.9997,-19.7852,0.2500,-0.0000
319.0797,0.0450,-18.6971,0.0278,0.0552
319.4951,0.0450,-19.6491,0.2500,0.0061
319.4741,0.0450,-19.2177,0.2500,0.0061
319.7358,0.0450,-19.3937,0.2500,0.0061
318.4037,-299.9997,-19.7193,0.2500,-0.0000
319.2935,0.0450,-19.2244,0.2500,0.0061
319.2171,0.0450,-19.0981,0.2500,0.0061
319.2056,0.0450,-19.7683,0.2500,0.0061
319.9821,0.0450,-19.1286,0.2500,0.0061
319.4529,0.0450,-19.7241,0.2500,0.0061
319.9587,0.0450,-18.9713,0.2500,0.0061
319.8961,0.0450,-16.5863,0.0278,0.0552
319.4409,0.0450,-19.0590,0.2500,0.0061
319.4100,0.0450,-19.5677,0.2500,0.0061
319.6610,0.0450,-19.7639,0.2500,0.0061
319.9340,0.0450,-17.2202,0.0278,0.0552
319.8045,0.0450,-19.1595,0.2500,0.0061
319.4745,0.0450,-19.2711,0.2500,0.0061
319.4939,0.0450,-19.3428,0.2500,0.0061
319.2554,0.0450,-19.3380,0.2500,0.0061
319.6075,0.0450,-19.4774,0.2500,0.0061
319.0633,0.0450,-19.7941,0.2500,0.0061
319.5715,0.0450,-19.4977,0.2500,0.0061
319.0915,0.0450,-17.4776,0.0278,0.0552
319.5205,0.0450,-19.7578,0.2500,0.0061
319.5977,0.0450,-19.4085,0.2500,0.0061
319.7726,0.0450,-17.7114,0.0278,0.0552
319.5251,0.0450,-18.8308,0.0278,0.0552
319.6393,0.0450,-17.3403,0.0278,0.0552
319.5404,0.0450,-17.0976,0.0278,0.0552
319.2656,0.0450,-18.9528,0.2500,0.0061
319.3110,0.0450,-19.3514,0.2500,0.0061
304.5021,-299.9997,-19.5377,0.2500,-0.0000
319.4431,0.0450,-19.3917,0.2500,0.0061
319.3768,0.0450,-19.3439,0.2500,0.0061
319.5673,0.0450,-18.9657,0.2500,0.0061
319.4129,0.0450,-19.4935,0.2500,0.0061
319.9534,0.0450,-19.2551,0.2500,0.0061
319.5967,0.0450,-19.5690,0.2500,0.0061
319.4741,0.0450,-19.7509,0.2500,0.0061
307.4618,-299.9997,-19.4963,0.2500,-0.0000
301.5706,-299.9997,-19.2788,0.2500,-0.0000
319.9955,0.0450,-19.5522,0.2500,0.0061
