SH_azi_deg,q_SH_azi,SH_MPa/km,q_SH,weights
313.4371,0.0800,-17.0925,0.2857,0.0068
317.0930,0.0800,-16.8042,0.2500,0.0077
319.7397,0.0800,-17.2510,0.2857,0.0068
316.2522,0.0800,-16.6455,0.2500,0.0077
312.6930,0.0800,-16.6137,0.2500,0.0077
316.5671,0.0800,-18.8288,0.2857,0.0068
316.2700,0.0800,-18.8797,0.2857,0.0068
318.2565,0.0800,-16.5047,0.2500,0.0077
306.4806,0.0200,-17.3476,0.2857,0.0271
306.9607,0.0200,-16.4517,0.2500,0.0309
315.3369,0.0800,-17.2698,0.2857,0.0068
319.1112,0.0800,-17.0783,0.2857,0.0068
301.9302,0.0200,-18.8165,0.2857,0.0271
307.6763,0.0200,-17.7836,0.2857,0.0271
314.1550,0.0800,-17.6748,0.2857,0.0068
312.8604,0.0800,-16.9124,0.2500,0.0077
315.1901,0.0800,-18.8607,0.2857,0.0068
319.2245,0.0800,-17.3388,0.2857,0.0068
317.2391,0.0800,-18.5020,0.2857,0.0068
314.9391,0.0800,-17.2546,0.2857,0.0068
314.9750,0.0800,-17.1841,0.2857,0.0068
303.3408,0.0200,-18.8719,0.2857,0.0271
316.4872,0.0800,-19.2165,0.2857,0.0068
314.4777,0.0800,-18.2948,0.2857,0.0068
315.5064,0.0800,-18.1260,0.2857,0.0068
319.7118,0.0800,-18.9643,0.2857,0.0068
319.3241,0.0800,-16.9950,0.2500,0.0077
318.4069,0.0800,-17.2129,0.2857,0.0068
311.2705,0.0800,-16.3402,0.2500,0.0077
315.5652,0.0800,-17.7792,0.2857,0.0068
313.6643,0.0800,-19.5347,0.2857,0.0068
304.3796,0.0200,-19.6571,0.2857,0.0271
319.1180,0.0800,-16.3692,0.2500,0.0077
313.1368,0.0800,-17.1075,0.2857,0.0068
319.3077,0.0800,-17.0086,0.2857,0.0068
303.1887,0.0200,-16.7336,0.2500,0.0309
305.6829,0.0200,-19.1501,0.2857,0.0271
312.3835,0.0800,-18.2653,0.2857,0.0068
314.2039,0.0800,-19.1348,0.2857,0.0068
306.5869,0.0200,-18.8004,0.2857,0.0271
319.5996,0.0800,-16.8117,0.2500,0.0077
315.9549,0.0800,-18.2543,0.2857,0.0068
319.3215,0.0800,-18.9879,0.2857,0.0068
315.3885,0.0800,-18.6927,0.2857,0.0068
312.2804,0.0800,-17.0440,0.2857,0.0068
317.1296,0.0800,-18.3051,0.2857,0.0068
315.2157,0.0800,-19.4696,0.2857,0.0068
305.7556,0.0200,-19.1848,0.2857,0.0271
315.0547,0.0800,-18.8338,0.2857,0.0068
311.3648,0.0800,-18.7404,0.2857,0.0068
311.4492,0.0800,-19.2865,0.2857,0.0068
319.2961,0.0800,-17.8158,0.2857,0.0068
319.5606,0.0800,-18.1035,0.2857,0.0068
319.6593,0.0800,-18.7658,0.2857,0.0068
313.5779,0.0800,-19.2987,0.2857,0.0068
310.4587,0.0800,-16.8584,0.2500,0.0077
315.5393,0.0800,-16.4420,0.2500,0.0077
317.3631,0.0800,-16.3673,0.2500,0.0077
316.4805,0.0800,-17.8999,0.2857,0.0068
310.5293,0.0800,-17.4717,0.2857,0.0068
312.3288,0.0800,-16.2581,0.2500,0.0077
303.1819,0.0200,-17.7623,0.2857,0.0271
317.0588,0.0800,-18.2291,0.2857,0.0068
310.5508,0.0800,-17.2757,0.2857,0.0068
302.1800,0.0200,-18.7593,0.2857,0.0271
318.4650,0.0800,-19.5101,0.2857,0.0068
319.8908,0.0800,-17.9582,0.2857,0.0068
308.4494,0.0200,-19.6779,0.2857,0.0271
312.4780,0.0800,-18.1750,0.2857,0.0068
303.0216,0.0200,-18.5001,0.2857,0.0271
310.5412,0.0800,-19.7348,0.2857,0.0068
319.7969,0.0800,-18.9881,0.2857,0.0068
304.3822,0.0200,-16.5011,0.2500,0.0309
317.6722,0.0800,-18.4154,0.2857,0.0068
314.5420,0.0800,-19.1128,0.2857,0.0068
314.7826,0.0800,-18.3253,0.2857,0.0068
319.1550,0.0800,-19.0204,0.2857,0.0068
313.5583,0.0800,-17.6226,0.2857,0.0068
310.5318,0.0800,-17.2153,0.2857,0.0068
316.1397,0.0800,-18.6776,0.2857,0.0068
313.1254,0.0800,-16.6500,0.2500,0.0077
316.8156,0.0800,-18.4663,0.2857,0.0068
319.4795,0.0800,-18.2899,0.2857,0.0068
313.6058,0.0800,-17.3289,0.2857,0.0068
312.4700,0.0800,-16.8980,0.2500,0.0077
310.5295,0.0800,-19.6167,0.2857,0.0068
300.9141,0.0200,-17.3129,0.2857,0.0271
303.0098,0.0200,-19.7089,0.2857,0.0271
318.3166,0.0800,-17.8907,0.2857,0.0068
300.8569,0.0200,-17.7891,0.2857,0.0271
